merchant_id,city,city_id,category,merchant_lat,merchant_lon
1,Москва,1,gas_transport,55.7111778864965,37.86393175448196
2,Москва,1,grocery_pos,55.89674562778272,37.370256980974254
3,Москва,1,home,55.79759445817547,37.38228251520666
4,Москва,1,shopping_pos,55.7237533828149,37.6542674345068
5,Москва,1,kids_pets,55.90780758648209,37.542508228999594
6,Москва,1,entertainment,55.71371890834153,37.92821281779189
7,Москва,1,personal_care,55.842932904171484,37.481282830207064
8,Москва,1,food_dining,55.62689683778205,37.5347001087522
9,Москва,1,health_fitness,55.530853291792035,37.50212488950325
10,Москва,1,misc_pos,55.73873449214699,37.49711847325905
11,Москва,1,travel,55.80408961881593,37.61812461193745
12,Санкт-Петербург,74,gas_transport,59.81347450471903,30.327527020253143
13,Санкт-Петербург,74,grocery_pos,59.808644122096695,30.16361785394459
14,Санкт-Петербург,74,home,59.969545151913515,30.245731654707132
15,Санкт-Петербург,74,shopping_pos,59.8607620793363,30.49064449773606
16,Санкт-Петербург,74,kids_pets,60.02809706503154,30.29617673584342
17,Санкт-Петербург,74,entertainment,59.98990433701748,30.431518577604376
18,Санкт-Петербург,74,personal_care,60.021474861275884,30.13360271440441
19,Санкт-Петербург,74,food_dining,59.885583984172676,30.37775104100635
20,Санкт-Петербург,74,health_fitness,59.845715204014574,30.112226254710873
21,Санкт-Петербург,74,misc_pos,60.013542129489394,30.450581417282507
22,Санкт-Петербург,74,travel,59.83608058287435,30.141591971685866
23,Новосибирск,70,gas_transport,55.0558684134188,83.01401602105841
24,Новосибирск,70,grocery_pos,54.90045821431263,83.12420079991276
25,Новосибирск,70,home,55.08730128705527,82.82361813749151
26,Новосибирск,70,shopping_pos,54.98814883552275,82.77301592268657
27,Новосибирск,70,kids_pets,54.93652540587095,82.86544517305344
28,Новосибирск,70,entertainment,54.97269703302625,82.82043959402651
29,Новосибирск,70,personal_care,54.856504749322866,82.94452376091091
30,Новосибирск,70,food_dining,54.94118459921905,83.09005964679021
31,Новосибирск,70,health_fitness,55.19202374765753,82.95754610938158
32,Новосибирск,70,misc_pos,54.86127976128741,83.03403188532809
33,Новосибирск,70,travel,55.154311211452246,82.95476383929099
34,Екатеринбург,54,gas_transport,56.81523931986992,60.71563575089045
35,Екатеринбург,54,grocery_pos,56.883974566301234,60.67295054787295
36,Екатеринбург,54,home,56.79489290783935,60.09652564547962
37,Екатеринбург,54,shopping_pos,56.70307127320775,60.402384580345064
38,Екатеринбург,54,kids_pets,56.788756779094584,60.539600568697104
39,Екатеринбург,54,entertainment,56.62126847431466,60.498818848513
