txn_id,client_id,txn_time,unix_time,amount,type,channel,category,online,merchant_id,trans_city,trans_lat,trans_lon,trans_ip,device_id,account,is_fraud,is_suspicious,status,rule,distance_km
1,1514,2025-01-01 00:13:00,1735690380,1.0,purchase,ecom,shopping_net,True,6866.0,Самара,53.1951657,50.1067691,2.60.5.155,2552.0,,False,False,approved,not applicable,0.0
2,399,2025-01-01 02:10:00,1735697400,929.02,purchase,ecom,grocery_net,True,6963.0,Курган,55.4443448,65.3161339,2.60.1.123,670.0,,False,False,approved,not applicable,0.0
3,491,2025-01-01 02:35:00,1735698900,2063.67,purchase,ecom,shopping_net,True,6957.0,Чебоксары,56.1439378,47.2488718,2.60.1.212,825.0,,False,False,approved,not applicable,0.0
4,576,2025-01-01 02:53:00,1735699980,1.0,purchase,ecom,misc_net,True,6861.0,Нижневартовск,60.9397379,76.5696206,2.60.2.39,969.0,,False,False,approved,not applicable,0.0
5,482,2025-01-01 03:01:00,1735700460,770.0,purchase,ecom,grocery_net,True,6902.0,Иркутск,52.2863513,104.280655,2.60.1.203,808.0,,False,False,approved,not applicable,0.0
6,1131,2025-01-01 05:27:00,1735709220,1.0,purchase,ecom,shopping_net,True,6973.0,Тольятти,53.5206438,49.389461,2.60.4.53,1919.0,,False,False,approved,not applicable,0.0
7,3924,2025-01-01 07:21:00,1735716060,2474.19,purchase,ecom,shopping_net,True,6854.0,Симферополь,44.9482645,34.100117,2.60.14.131,6674.0,,False,False,approved,not applicable,0.0
19648,3269,2025-01-01 07:57:00,1735718220,24200.0,inbound,transfer,not applicable,True,,not applicable,,,not applicable,,13095.0,False,False,approved,not applicable,0.0
8,2843,2025-01-01 08:02:00,1735718520,1.0,purchase,POS,food_dining,False,3418.0,Новосибирск,55.10842596813458,82.87893372208264,not applicable,,,False,False,approved,not applicable,9.338
9,6499,2025-01-01 08:04:00,1735718640,679.4,purchase,ecom,misc_net,True,6899.0,Ставрополь,45.0445439,41.9690168,2.60.18.224,8701.0,,False,False,approved,not applicable,0.0
10,726,2025-01-01 08:06:00,1735718760,790.0,purchase,POS,entertainment,False,5330.0,Ярославль,57.70195777945713,39.80773026962985,not applicable,,,False,False,approved,not applicable,10.441
11,1460,2025-01-01 08:08:00,1735718880,12400.0,purchase,POS,travel,False,572.0,Владимир,56.10158530947766,40.27864681805295,not applicable,,,False,False,approved,not applicable,8.591
12,4410,2025-01-01 08:11:00,1735719060,2000.0,purchase,POS,home,False,5063.0,Йошкар-Ола,56.64549484322874,47.90244992748949,not applicable,,,False,False,approved,not applicable,1.248
13,3374,2025-01-01 08:15:00,1735719300,1808.27,purchase,POS,home,False,4337.0,Ростов-на-Дону,47.20651025395554,39.624796808737045,not applicable,,,False,False,approved,not applicable,7.337
14,2265,2025-01-01 08:18:00,1735719480,1390.3,purchase,POS,food_dining,False,6025.0,Челябинск,55.105627597036595,61.49535593594995,not applicable,,,False,False,approved,not applicable,8.574
15,1200,2025-01-01 08:22:00,1735719720,455.27,purchase,POS,gas_transport,False,4434.0,Барнаул,53.399675474043754,83.74100459685734,not applicable,,,False,False,approved,not applicable,6.294
16,732,2025-01-01 08:36:00,1735720560,900.0,purchase,POS,health_fitness,False,867.0,Санкт-Петербург,60.006636915506,30.48685593378933,not applicable,,,False,False,approved,not applicable,12.158
17,3846,2025-01-01 08:39:00,1735720740,1381.0,purchase,POS,kids_pets,False,456.0,Брянск,53.34665181712223,34.233559223214044,not applicable,,,False,False,approved,not applicable,14.586
19649,3269,2025-01-01 08:40:00,1735720800,10000.0,purchase,ecom,shopping_net,True,6929.0,Саранск,54.1807601,45.1862263,2.60.12.24,5555.0,,False,False,approved,not applicable,0.0
18,12695,2025-01-01 08:43:00,1735720980,2670.46,purchase,POS,misc_pos,False,3464.0,Самара,53.51079891698597,50.07031115891905,not applicable,,,False,False,approved,not applicable,35.212
19,12739,2025-01-01 08:43:00,1735720980,259.81,purchase,POS,personal_care,False,6497.0,Владимир,56.1472722828005,40.60883825832573,not applicable,,,False,False,approved,not applicable,12.648
20,1630,2025-01-01 08:50:00,1735721400,683.97,purchase,POS,grocery_pos,False,5568.0,Магнитогорск,53.34613716668702,59.10428699241129,not applicable,,,False,False,approved,not applicable,10.749
21,1125,2025-01-01 08:56:00,1735721760,1.0,purchase,POS,misc_pos,False,6247.0,Новокузнецк,53.7044135308962,87.01958520317991,not applicable,,,False,False,approved,not applicable,16.285
22,2044,2025-01-01 09:02:00,1735722120,1.0,purchase,POS,entertainment,False,468.0,Курск,51.72621633524166,36.12682301791648,not applicable,,,False,False,approved,not applicable,4.571
23,2003,2025-01-01 09:05:00,1735722300,1000.0,purchase,POS,gas_transport,False,870.0,Новосибирск,55.077779232684385,82.9271660267159,not applicable,,,False,False,approved,not applicable,5.544
25,1426,2025-01-01 09:08:00,1735722480,1158.0,purchase,POS,entertainment,False,798.0,Петрозаводск,61.78652561254256,34.3618704475699,not applicable,,,False,False,approved,not applicable,0.309
24,45,2025-01-01 09:08:00,1735722480,211.17,purchase,POS,kids_pets,False,6770.0,Братск,56.11548547750639,101.53537749329303,not applicable,,,False,False,approved,not applicable,7.32
26,2580,2025-01-01 09:09:00,1735722540,699.22,purchase,POS,gas_transport,False,4665.0,Улан-Удэ,51.77977306256083,107.65155261579747,not applicable,,,False,False,approved,not applicable,7.567
27,7324,2025-01-01 09:19:00,1735723140,1.0,purchase,POS,travel,False,5093.0,Москва,55.79255282782992,37.43092556465238,not applicable,,,False,False,approved,not applicable,12.645
28,3695,2025-01-01 09:21:00,1735723260,1205.59,purchase,POS,gas_transport,False,4423.0,Тольятти,53.45841897397324,49.60165326272607,not applicable,,,False,False,approved,not applicable,15.695
29,2,2025-01-01 09:23:00,1735723380,1360.08,purchase,POS,misc_pos,False,857.0,Москва,55.724994834399524,37.63896422699762,not applicable,,,False,False,approved,not applicable,3.421
30,2741,2025-01-01 09:25:00,1735723500,579.8,purchase,POS,entertainment,False,5847.0,Якутск,62.13535557917043,129.76513835967413,not applicable,,,False,False,approved,not applicable,12.082
31,538,2025-01-01 09:29:00,1735723740,2162.97,purchase,POS,food_dining,False,954.0,Ростов-на-Дону,47.267001449304296,39.70671892076527,not applicable,,,False,False,approved,not applicable,5.038
32,2509,2025-01-01 09:32:00,1735723920,1881.69,purchase,POS,food_dining,False,910.0,Казань,55.74130855769066,49.12771061598202,not applicable,,,False,False,approved,not applicable,5.996
33,4021,2025-01-01 09:34:00,1735724040,500.0,purchase,POS,gas_transport,False,1442.0,Курган,55.381380052841216,65.24030671555151,not applicable,,,False,False,approved,not applicable,8.497
35,4327,2025-01-01 09:38:00,1735724280,3940.0,purchase,ecom,shopping_net,True,6960.0,Москва,55.7538789,37.6203735,2.60.16.1,7368.0,,False,False,approved,not applicable,0.0
34,1131,2025-01-01 09:38:00,1735724280,5790.95,purchase,ecom,shopping_net,True,6835.0,Тольятти,53.5206438,49.389461,2.60.4.53,1919.0,,False,False,approved,not applicable,0.0
36,3734,2025-01-01 09:42:00,1735724520,1068.48,purchase,POS,gas_transport,False,4456.0,Ульяновск,54.339701824596276,48.50551967073031,not applicable,,,False,False,approved,not applicable,9.201
37,3972,2025-01-01 09:51:00,1735725060,9731.23,purchase,POS,travel,False,3399.0,Москва,55.849007715452174,37.70719072314755,not applicable,,,False,False,approved,not applicable,11.909
